sequence,damino_filter,length_filter,cationicity_filter,hydrophobicity_filter,predicted_structure_path,fasta_path,structure_classification,structure_filter
MiEYLMrMWWVcFQ,1,1,0,0,,,Did not pass filters,0
WAkACLTIiAMR,1,1,0,0,,,Did not pass filters,0
RyMHQlLAIQnflClKA,1,1,0,1,,,Did not pass filters,0
KiIVIYvWLHRIMmq,1,1,0,0,,,Did not pass filters,0
LFLsYYkATElqRFiSQYW,1,1,0,1,,,Did not pass filters,0
MFIfwYRLfRENAYGM,1,1,0,1,,,Did not pass filters,0
SvTRIACKILGlkL,1,1,1,0,,,Did not pass filters,0
sVLAATRFVPSRSmrT,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_34.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_34.fasta,Unstructured / Random Coil,0
MyYRwHVKIAFAQK,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_35.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_35.fasta,Alpha-Helical,1
QiYeiSRMiVPaR,1,1,0,1,,,Did not pass filters,0
iAFRdfSKpLH,1,1,0,1,,,Did not pass filters,0
MIWwaHKaAATCTTVLMW,1,1,0,0,,,Did not pass filters,0
IMWHVYMdArKRnV,1,1,0,1,,,Did not pass filters,0
LAKKKAYWlfIKRKVgas,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_40.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_40.fasta,Alpha-Helical,1
FMSNyPVFGrAgfkpTA,1,1,0,1,,,Did not pass filters,0
MkQFRGArFwIKMNA,1,1,1,0,,,Did not pass filters,0
KndHmyNVANR,1,1,0,0,,,Did not pass filters,0
KtTrFMIIVPSCYirA,1,1,1,0,,,Did not pass filters,0
LYVHkvYIWkWKGnKRrrWV,1,1,1,0,,,Did not pass filters,0
RfMMEhAYaKyMNRFR,1,1,1,0,,,Did not pass filters,0
nRVKIrYSfFPm,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_47.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_47.fasta,Unstructured / Random Coil,0
nVLCVRsElQKM,1,1,0,1,,,Did not pass filters,0
NkYYKwNRAWFWRKcwlY,1,1,1,0,,,Did not pass filters,0
PIALmWHFRKMPy,1,1,0,1,,,Did not pass filters,0
GHMrRNhVCQIA,1,1,0,0,,,Did not pass filters,0
VpqESTkTYAm,1,1,0,0,,,Did not pass filters,0
CECrCMIkLHPHqLGTLw,1,1,0,1,,,Did not pass filters,0
EmsvKWRwMWRY,1,1,0,0,,,Did not pass filters,0
RhQKYyqYkYRKN,1,1,1,0,,,Did not pass filters,0
cAGRMYVIiALnAR,1,1,0,0,,,Did not pass filters,0
laWGvQRLYdTKRL,1,1,0,1,,,Did not pass filters,0
cQWrGYPPIMtKW,1,1,0,0,,,Did not pass filters,0
HMkCCvyWrGLSRhLWHCM,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_59.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_59.fasta,Unstructured / Random Coil,0
FAAQiNVQYwFHHIFk,1,1,0,1,,,Did not pass filters,0
aDLSLhtMKvIAMFYPVvQ,1,1,0,0,,,Did not pass filters,0
ASvRAELkFEfLVKFTLCK,1,1,0,0,,,Did not pass filters,0
fIPIMmwLYkAWWRwMLl,1,1,0,0,,,Did not pass filters,0
fKPYrICIYMIFpYWKFcYV,1,1,1,0,,,Did not pass filters,0
IlAFDKSACki,1,1,0,0,,,Did not pass filters,0
mIYRqQViYKMFWLNIM,1,1,0,1,,,Did not pass filters,0
MWgIPaIYMM,1,1,0,0,,,Did not pass filters,0
MKLVYAPWHvPWpl,1,1,0,1,,,Did not pass filters,0
FVyKSKLyplR,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_69.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_69.fasta,Unstructured / Random Coil,0
KGIWYkwYrArRLMCDII,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_70.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_70.fasta,Alpha-Helical,1
SkWlHIvqHVLWY,1,1,0,1,,,Did not pass filters,0
iFGPwkFvLFFYVRMLAVF,1,1,0,0,,,Did not pass filters,0
ARHimRRRVMIw,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_73.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_73.fasta,Unstructured / Random Coil,0
qSKAKQWIWQhAWkVKMIMa,1,1,1,0,,,Did not pass filters,0
VKImrQKgLSVRIIac,1,1,1,0,,,Did not pass filters,0
HRAmKFYEpRYK,1,1,1,0,,,Did not pass filters,0
dKpgLRSVIRLKMVMMRIy,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_77.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_77.fasta,Alpha-Helical,1
rLFILAIvyCYaDMM,1,1,0,0,,,Did not pass filters,0
WKeQVPPykFlwYAWMRM,1,1,0,0,,,Did not pass filters,0
VaaRVfIIGKSLYLMTKVF,1,1,1,0,,,Did not pass filters,0
WWlRNpLMVyNkFWQlD,1,1,0,1,,,Did not pass filters,0
kWlgfRpLAMPInRwIAFKG,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_82.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_82.fasta,Unstructured / Random Coil,0
WlRvMDfrMlYQEWMlM,1,1,0,1,,,Did not pass filters,0
kVvVFVMILi,1,1,0,0,,,Did not pass filters,0
KAKiyFcWYvlMVkTRLfAA,1,1,1,0,,,Did not pass filters,0
SFPNPKWviFlLrAR,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_86.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_86.fasta,Alpha-Helical,1
GwWgFGKAMKLR,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_87.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_87.fasta,Structured Turns / Bends,0
TKPLQfGIMmLAVaH,1,1,0,0,,,Did not pass filters,0
IVIRrCHpYK,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_89.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_89.fasta,Unstructured / Random Coil,0
